"STATION","NAME","DATE","AWND","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-10","7.61",,"0.00",,"0.0","0.0","77","86","65",,"  210","  220",,"18.1","29.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-11","10.07",,"0.00",,"0.0","0.0","80","92","70",,"  210","  210",,"16.1","23.0",,,,,,,"    1",
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-12","10.51",,"0.00",,"0.0","0.0","85","95","75",,"  230","  230",,"19.9","25.9","    1",,,,,,"    1",
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-13","9.40",,"0.00",,"0.0","0.0","83","88","77",,"  320","  320",,"21.0","25.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-14","5.14",,"0.09",,"0.0","0.0","81","90","72",,"  160","  150",,"15.0","21.0","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-15","8.50",,"0.00",,"0.0","0.0","80","89","74",,"  220","  250",,"17.0","21.9","    1",,,,,,"    1",
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-16","9.17",,"0.00",,"0.0","0.0","83","91","74",,"  250","  310",,"19.9","29.1","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-17","8.50",,"0.00",,"0.0","0.0","78","86","69",,"   80","   70",,"16.1","21.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-18","6.71",,"0.65",,"0.0","0.0","69","74","65",,"  100","  120",,"13.0","17.0","    1",,,,,,"    1",
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-19","7.38",,"0.27",,"0.0","0.0","76","87","70",,"  290","  310",,"16.1","21.0","    1",,"    1",,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-20","8.05",,"0.48",,"0.0","0.0","78","86","71",,"  180","  150",,"15.0","21.0","    1",,"    1",,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-21","11.86",,"0.30",,"0.0","0.0","80","91","73",,"  250","  280",,"23.0","30.0","    1",,"    1",,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-22","9.62",,"0.00",,"0.0","0.0","83","91","73",,"  240","  270",,"19.9","25.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-23","11.41",,"0.55",,"0.0","0.0","84","95","70",,"  300","  280",,"52.1","72.0","    1",,"    1",,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-24","8.05",,"0.00",,"0.0","0.0","76","85","69",,"  300","  320",,"16.1","23.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-25","5.59",,"0.13",,"0.0","0.0","77","84","68",,"  250","   10",,"13.0","17.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-26","5.59",,"0.00",,"0.0","0.0","73","84","68",,"  130","  120",,"15.0","18.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-27","12.53",,"1.34",,"0.0","0.0","70","71","63",,"   90","   80",,"29.1","36.9","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-28","14.32",,"0.22",,"0.0","0.0","70","79","66",,"  260","  250",,"21.0","25.9","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-29","9.84",,"0.00",,"0.0","0.0","72","81","63",,"  270","  260",,"18.1","23.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-06-30","8.28",,"1.50",,"0.0","0.0","76","86","67",,"  320","  320",,"33.1","36.9",,,"    1",,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-07-01","10.96",,"0.08",,"0.0","0.0","77","86","69",,"  240","  240",,"35.1","42.9","    1",,"    1",,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-07-02","3.13",,"0.02",,"0.0","0.0","74","77","67",,"   60","   30",,"10.1","16.1",,,,,,,"    1",
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-07-03","5.14",,"0.00",,"0.0","0.0","74","83","66",,"  180","   30",,"10.1","14.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-07-04","6.71",,"0.02",,"0.0","0.0","73","77","69",,"   40","   10",,"15.0","19.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-07-05","4.70",,"0.00",,"0.0","0.0","75","84","67",,"  210","  200",,"8.9","17.0",,,,,,,"    1",
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-07-06","6.26",,"0.00",,"0.0","0.0","78","88","72",,"  130","  130",,"14.1","16.1",,,"    1",,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-07-07","9.40",,"0.00",,"0.0","0.0","82","91","76",,"  230","  230",,"21.0","23.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-07-08","8.28",,"0.00",,"0.0","0.0","82","89","77",,"  220","  320",,"18.1","23.0",,,,,,,"    1",
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-07-09","6.93",,"0.76",,"0.0","0.0","79","85","73",,"  290","  290",,"30.0","38.9","    1",,"    1",,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-07-10","10.51",,"0.00",,"0.0","0.0","78","86","72",,"  330","  340",,"18.1","23.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-07-11","6.71",,"0.00",,"0.0","0.0","80","89","73",,"  360","  360",,"12.1","15.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-07-12","3.80",,"0.00",,"0.0","0.0","80","90","69",,"  200","  190",,"12.1","17.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-07-13","5.37",,"0.00",,"0.0","0.0","79","87","72",,"  190","  200",,"15.0","25.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-07-14","5.59",,"0.58",,"0.0","0.0","78","86","73",,"  230","  250",,"19.9","25.1","    1",,"    1",,,,"    1",
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-07-15","8.28",,"0.69",,"0.0","0.0","76","82","69",,"  330","  320",,"21.9","28.0","    1",,"    1",,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-07-16","7.61",,"0.00",,"0.0","0.0","72","82","64",,"   40","  360",,"18.1","23.9",,,,,,,,
